
X1=34.38, Y1=66.23, Z1=42.46, A1=-1.63, B1=-10.15, C1=-3.17, M1=-411.00, N1=27.00, O1=-156.00 L2=26.588, I2=26.500,  Status = ON
X1=16.04, Y1=13.41, Z1=26.35, A1=-2.34, B1=-9.15, C1=-3.69, M1=-415.50, N1=18.00, O1=-138.00 L2=26.659, I2=26.875,  Status = ON
X1=23.43, Y1=14.68, Z1=45.31, A1=-4.05, B1=-9.03, C1=-3.15, M1=-412.50, N1=-3.00, O1=-130.50 L2=26.635, I2=26.625,  Status = ON
X1=30.49, Y1=39.22, Z1=8.56, A1=-3.53, B1=-9.23, C1=-2.66, M1=-417.00, N1=-22.50, O1=-129.00 L2=26.596, I2=27.000,  Status = ON
X1=25.53, Y1=40.55, Z1=3.42, A1=-3.62, B1=-9.67, C1=-2.16, M1=-424.50, N1=-36.00, O1=-118.50 L2=26.682, I2=26.875,  Status = ON
X1=61.64, Y1=58.41, Z1=6.45, A1=-2.92, B1=-9.80, C1=-1.00, M1=-430.50, N1=-42.00, O1=-99.00 L2=26.686, I2=27.000,  Status = ON
X1=36.56, Y1=28.11, Z1=2.75, A1=-3.39, B1=-9.66, C1=-1.54, M1=-426.00, N1=-45.00, O1=-82.50 L2=26.795, I2=26.750,  Status = ON
X1=21.81, Y1=33.13, Z1=11.43, A1=-3.35, B1=-9.18, C1=-1.62, M1=-423.00, N1=-55.50, O1=-70.50 L2=26.647, I2=26.750,  Status = ON
X1=17.38, Y1=46.08, Z1=16.51, A1=-3.95, B1=-8.77, C1=-2.01, M1=-426.00, N1=-61.50, O1=-54.00 L2=26.635, I2=26.750,  Status = ON
X1=17.83, Y1=27.49, Z1=-8.13, A1=-4.82, B1=-9.17, C1=-2.14, M1=-429.00, N1=-67.50, O1=-45.00 L2=26.698, I2=27.000,  Status = ON
X1=16.36, Y1=31.60, Z1=-15.70, A1=-3.91, B1=-8.86, C1=-2.45, M1=-429.00, N1=-67.50, O1=-39.00 L2=26.725, I2=26.750,  Status = ON
