
X1=-111.73, Y1=-224.21, Z1=-81.48, A1=-14.11, B1=8.16, C1=12.75, M1=84.00, N1=-469.50, O1=-45.00 L2=26.393, I2=26.500,  Status = ON
X1=-111.94, Y1=-222.59, Z1=-70.36, A1=-11.75, B1=9.57, C1=11.93, M1=90.00, N1=-460.50, O1=-76.50 L2=26.416, I2=26.500,  Status = ON
X1=-125.09, Y1=-182.74, Z1=-48.39, A1=-14.49, B1=9.74, C1=13.90, M1=99.00, N1=-441.00, O1=-99.00 L2=26.459, I2=26.500,  Status = ON
X1=-108.25, Y1=-160.36, Z1=11.79, A1=-16.84, B1=8.00, C1=12.66, M1=112.50, N1=-423.00, O1=-114.00 L2=26.510, I2=26.500,  Status = ON
X1=-90.32, Y1=-99.64, Z1=-38.40, A1=-9.05, B1=7.04, C1=10.69, M1=118.50, N1=-411.00, O1=-120.00 L2=26.338, I2=26.375,  Status = ON
X1=-85.58, Y1=-46.79, Z1=7.30, A1=-13.92, B1=8.19, C1=11.04, M1=124.50, N1=-399.00, O1=-130.50 L2=26.405, I2=26.500,  Status = ON
X1=-59.88, Y1=-15.30, Z1=28.87, A1=-6.81, B1=9.71, C1=9.52, M1=129.00, N1=-388.50, O1=-145.50 L2=26.366, I2=26.375,  Status = ON
X1=-28.87, Y1=24.80, Z1=13.57, A1=-8.17, B1=8.43, C1=8.75, M1=130.50, N1=-385.50, O1=-156.00 L2=26.448, I2=26.500,  Status = ON
X1=1.66, Y1=52.53, Z1=-22.73, A1=-4.64, B1=5.03, C1=9.52, M1=132.00, N1=-384.00, O1=-166.50 L2=26.385, I2=26.500,  Status = ON
X1=10.21, Y1=62.58, Z1=-6.44, A1=-4.09, B1=2.99, C1=7.74, M1=126.00, N1=-382.50, O1=-171.00 L2=26.436, I2=26.375,  Status = ON
X1=16.34, Y1=65.62, Z1=-11.40, A1=-3.06, B1=1.71, C1=8.64, M1=115.50, N1=-384.00, O1=-175.50 L2=26.373, I2=26.500,  Status = ON
X1=11.15, Y1=59.09, Z1=-13.01, A1=-3.06, B1=0.06, C1=8.79, M1=106.50, N1=-382.50, O1=-186.00 L2=26.424, I2=26.625,  Status = ON
X1=1.59, Y1=55.76, Z1=-11.30, A1=-3.49, B1=0.01, C1=8.56, M1=99.00, N1=-382.50, O1=-189.00 L2=26.366, I2=26.500,  Status = ON
X1=-12.91, Y1=51.95, Z1=-2.39, A1=-2.68, B1=-0.47, C1=7.99, M1=94.50, N1=-381.00, O1=-198.00 L2=26.416, I2=26.500,  Status = ON
X1=-24.95, Y1=50.17, Z1=38.76, A1=-3.39, B1=0.08, C1=8.65, M1=96.00, N1=-373.50, O1=-222.00 L2=26.350, I2=26.625,  Status = ON
X1=-27.12, Y1=51.65, Z1=70.73, A1=-2.51, B1=1.16, C1=8.72, M1=102.00, N1=-367.50, O1=-231.00 L2=26.463, I2=26.500,  Status = ON
X1=-15.57, Y1=48.97, Z1=97.81, A1=-4.50, B1=0.63, C1=8.43, M1=115.50, N1=-355.50, O1=-243.00 L2=26.385, I2=26.375,  Status = ON
X1=-5.22, Y1=43.45, Z1=81.81, A1=-4.22, B1=-0.05, C1=8.83, M1=130.50, N1=-343.50, O1=-259.50 L2=26.370, I2=26.375,  Status = ON
X1=-4.52, Y1=35.92, Z1=77.39, A1=-6.19, B1=-0.43, C1=8.10, M1=144.00, N1=-331.50, O1=-268.50 L2=26.393, I2=26.500,  Status = ON
X1=-2.53, Y1=35.95, Z1=46.31, A1=-5.79, B1=-0.42, C1=8.42, M1=153.00, N1=-324.00, O1=-279.00 L2=26.405, I2=26.500,  Status = ON
X1=-5.17, Y1=35.37, Z1=84.57, A1=-7.03, B1=-0.46, C1=8.36, M1=163.50, N1=-319.50, O1=-297.00 L2=26.346, I2=26.500,  Status = ON
X1=-8.41, Y1=40.71, Z1=80.82, A1=-6.26, B1=0.77, C1=7.55, M1=178.50, N1=-309.00, O1=-307.50 L2=26.362, I2=26.500,  Status = ON
X1=-5.79, Y1=43.22, Z1=82.41, A1=-6.35, B1=2.33, C1=8.63, M1=180.00, N1=-301.50, O1=-315.00 L2=26.346, I2=26.500,  Status = ON
X1=5.91, Y1=43.51, Z1=63.56, A1=-7.89, B1=2.10, C1=8.49, M1=181.50, N1=-294.00, O1=-324.00 L2=26.495, I2=26.375,  Status = ON
X1=19.87, Y1=37.67, Z1=37.41, A1=-5.43, B1=2.45, C1=8.32, M1=181.50, N1=-288.00, O1=-336.00 L2=26.327, I2=26.500,  Status = ON
X1=32.44, Y1=29.66, Z1=0.87, A1=-6.44, B1=0.05, C1=7.38, M1=175.50, N1=-297.00, O1=-339.00 L2=26.366, I2=26.500,  Status = ON
X1=34.94, Y1=18.41, Z1=-17.25, A1=-4.58, B1=-0.79, C1=7.58, M1=165.00, N1=-307.50, O1=-333.00 L2=26.393, I2=26.500,  Status = ON
X1=29.03, Y1=7.54, Z1=-8.00, A1=-5.51, B1=-1.38, C1=7.45, M1=157.50, N1=-319.50, O1=-330.00 L2=26.354, I2=26.500,  Status = ON
X1=17.11, Y1=2.29, Z1=-10.74, A1=-5.85, B1=-1.05, C1=7.10, M1=151.50, N1=-330.00, O1=-331.50 L2=26.366, I2=26.500,  Status = ON
X1=5.36, Y1=-0.54, Z1=-21.72, A1=-6.17, B1=-0.31, C1=7.37, M1=145.50, N1=-330.00, O1=-333.00 L2=26.455, I2=26.500,  Status = ON
X1=1.80, Y1=0.07, Z1=-11.05, A1=-6.39, B1=0.13, C1=7.87, M1=139.50, N1=-328.50, O1=-334.50 L2=26.432, I2=26.500,  Status = ON
