
X1=16.76, Y1=-285.01, Z1=38.73, A1=14.44, B1=-3.90, C1=18.23, M1=147.00, N1=-402.00, O1=124.50 L2=26.846, I2=27.000,  Status = ON
X1=-75.92, Y1=-286.68, Z1=-14.80, A1=13.02, B1=-7.46, C1=19.57, M1=106.50, N1=-406.50, O1=147.00 L2=26.799, I2=26.750,  Status = ON
X1=-235.69, Y1=-286.68, Z1=27.97, A1=16.49, B1=-16.00, C1=19.57, M1=36.00, N1=-424.50, O1=127.50 L2=26.830, I2=26.625,  Status = ON
X1=-286.68, Y1=-286.68, Z1=255.24, A1=-17.96, B1=-3.83, C1=19.57, M1=19.50, N1=-453.00, O1=10.50 L2=26.772, I2=27.250,  Status = ON
X1=-286.68, Y1=-286.68, Z1=117.12, A1=-19.59, B1=13.79, C1=19.57, M1=109.50, N1=-421.50, O1=-183.00 L2=26.827, I2=27.250,  Status = ON
X1=-286.68, Y1=-284.44, Z1=168.67, A1=-19.59, B1=18.44, C1=19.57, M1=247.50, N1=-274.50, O1=-301.50 L2=26.729, I2=26.750,  Status = ON
X1=-286.68, Y1=-102.65, Z1=206.10, A1=-19.59, B1=19.57, C1=19.57, M1=324.00, N1=-99.00, O1=-300.00 L2=26.678, I2=27.000,  Status = ON
X1=-286.68, Y1=17.47, Z1=-8.06, A1=-11.06, B1=19.57, C1=19.57, M1=334.50, N1=34.50, O1=-270.00 L2=26.741, I2=27.250,  Status = ON
X1=-286.68, Y1=28.63, Z1=107.41, A1=-3.19, B1=19.57, C1=16.07, M1=331.50, N1=124.50, O1=-240.00 L2=26.678, I2=26.750,  Status = ON
X1=-113.44, Y1=-39.37, Z1=-18.80, A1=2.49, B1=18.12, C1=8.92, M1=327.00, N1=168.00, O1=-204.00 L2=26.788, I2=27.000,  Status = ON
X1=-20.33, Y1=11.97, Z1=-25.25, A1=-3.09, B1=9.84, C1=-0.43, M1=316.50, N1=187.50, O1=-187.50 L2=26.690, I2=27.250,  Status = ON
X1=44.15, Y1=-20.55, Z1=-44.93, A1=-4.62, B1=0.48, C1=3.38, M1=321.00, N1=183.00, O1=-184.50 L2=26.815, I2=26.875,  Status = ON
X1=217.76, Y1=-9.99, Z1=-117.68, A1=-2.59, B1=-12.74, C1=11.46, M1=339.00, N1=150.00, O1=-196.50 L2=26.827, I2=27.250,  Status = ON
X1=100.64, Y1=11.27, Z1=-51.50, A1=-7.05, B1=-16.76, C1=6.85, M1=346.50, N1=120.00, O1=-214.50 L2=26.842, I2=26.875,  Status = ON
X1=66.85, Y1=19.29, Z1=-32.16, A1=0.41, B1=-14.94, C1=4.56, M1=348.00, N1=102.00, O1=-223.50 L2=26.698, I2=26.875,  Status = ON
X1=30.27, Y1=11.65, Z1=-20.67, A1=-0.90, B1=-16.19, C1=2.80, M1=343.50, N1=87.00, O1=-234.00 L2=26.752, I2=27.000,  Status = ON
X1=-4.89, Y1=-2.15, Z1=3.66, A1=-4.18, B1=-14.70, C1=1.13, M1=343.50, N1=88.50, O1=-238.50 L2=26.674, I2=27.000,  Status = ON
X1=-19.61, Y1=-16.35, Z1=-60.98, A1=-0.76, B1=-12.75, C1=2.76, M1=355.50, N1=87.00, O1=-231.00 L2=26.690, I2=26.750,  Status = ON
X1=-25.80, Y1=-32.12, Z1=-108.75, A1=2.35, B1=-10.35, C1=-0.06, M1=366.00, N1=69.00, O1=-223.50 L2=26.760, I2=26.625,  Status = ON
X1=-10.21, Y1=-60.17, Z1=-68.07, A1=1.68, B1=-10.55, C1=1.55, M1=373.50, N1=48.00, O1=-213.00 L2=26.811, I2=26.750,  Status = ON
X1=-12.68, Y1=-70.07, Z1=7.59, A1=2.28, B1=-10.77, C1=2.79, M1=385.50, N1=39.00, O1=-187.50 L2=26.799, I2=26.875,  Status = ON
X1=-22.90, Y1=-76.16, Z1=110.62, A1=-0.46, B1=-11.60, C1=5.66, M1=391.50, N1=57.00, O1=-159.00 L2=26.733, I2=26.625,  Status = ON
X1=-40.09, Y1=-70.74, Z1=116.19, A1=-0.07, B1=-10.35, C1=6.03, M1=385.50, N1=91.50, O1=-133.50 L2=26.846, I2=26.625,  Status = ON
X1=-42.13, Y1=-58.28, Z1=65.80, A1=-2.56, B1=-10.74, C1=4.16, M1=376.50, N1=121.50, O1=-114.00 L2=26.815, I2=27.250,  Status = ON
X1=-22.24, Y1=-40.70, Z1=14.25, A1=-2.62, B1=-10.49, C1=3.21, M1=370.50, N1=141.00, O1=-97.50 L2=26.823, I2=26.875,  Status = ON
X1=-7.24, Y1=-27.35, Z1=-60.02, A1=-0.36, B1=-9.97, C1=2.07, M1=376.50, N1=139.50, O1=-79.50 L2=26.838, I2=26.875,  Status = ON
X1=1.21, Y1=-12.56, Z1=-44.13, A1=-1.38, B1=-10.77, C1=1.42, M1=379.50, N1=130.50, O1=-70.50 L2=26.737, I2=26.750,  Status = ON
