
X1=-286.68, Y1=-126.17, Z1=-286.68, A1=2.01, B1=8.86, C1=19.57, M1=-90.00, N1=340.50, O1=-183.00 L2=26.659, I2=27.000,  Status = ON
X1=-286.68, Y1=-210.47, Z1=-85.10, A1=-12.53, B1=5.56, C1=19.57, M1=-16.50, N1=364.50, O1=-34.50 L2=26.612, I2=26.750,  Status = ON
X1=-286.68, Y1=-169.61, Z1=158.55, A1=-12.32, B1=8.50, C1=17.93, M1=-21.00, N1=333.00, O1=93.00 L2=26.596, I2=26.750,  Status = ON
X1=-286.68, Y1=-68.58, Z1=155.02, A1=-13.69, B1=12.46, C1=15.27, M1=-75.00, N1=265.50, O1=195.00 L2=26.733, I2=26.625,  Status = ON
X1=-286.68, Y1=5.55, Z1=98.28, A1=-14.33, B1=17.84, C1=9.51, M1=-124.50, N1=180.00, O1=280.50 L2=26.623, I2=27.250,  Status = ON
X1=-250.48, Y1=98.54, Z1=52.61, A1=-10.65, B1=19.57, C1=4.15, M1=-132.00, N1=106.50, O1=333.00 L2=26.627, I2=27.250,  Status = ON
X1=-270.20, Y1=47.52, Z1=76.31, A1=-3.16, B1=19.57, C1=3.59, M1=-118.50, N1=18.00, O1=360.00 L2=26.623, I2=26.625,  Status = ON
X1=-154.97, Y1=64.17, Z1=-55.83, A1=-1.57, B1=19.57, C1=2.11, M1=-105.00, N1=-57.00, O1=370.50 L2=26.616, I2=27.250,  Status = ON
X1=-23.70, Y1=82.32, Z1=27.94, A1=-2.32, B1=17.76, C1=2.13, M1=-87.00, N1=-91.50, O1=379.50 L2=26.815, I2=26.750,  Status = ON
X1=24.58, Y1=49.98, Z1=-91.68, A1=-0.36, B1=16.55, C1=1.08, M1=-67.50, N1=-90.00, O1=390.00 L2=26.623, I2=26.875,  Status = ON
X1=-6.29, Y1=23.15, Z1=8.12, A1=0.87, B1=12.08, C1=0.83, M1=-48.00, N1=-81.00, O1=391.50 L2=26.713, I2=26.750,  Status = ON
X1=9.45, Y1=34.27, Z1=26.34, A1=0.47, B1=8.75, C1=0.04, M1=-36.00, N1=-85.50, O1=390.00 L2=26.663, I2=26.875,  Status = ON
X1=45.50, Y1=-20.21, Z1=-113.57, A1=0.33, B1=6.71, C1=-1.25, M1=-39.00, N1=-79.50, O1=397.50 L2=26.795, I2=26.750,  Status = ON
X1=46.27, Y1=-50.47, Z1=-101.89, A1=-3.12, B1=5.36, C1=0.43, M1=-45.00, N1=-63.00, O1=400.50 L2=26.639, I2=26.625,  Status = ON
X1=59.65, Y1=-60.54, Z1=-286.45, A1=0.04, B1=6.25, C1=-0.84, M1=-58.50, N1=-36.00, O1=393.00 L2=26.663, I2=27.000,  Status = ON
X1=30.64, Y1=-102.02, Z1=-118.66, A1=-5.72, B1=3.85, C1=-2.10, M1=-78.00, N1=-9.00, O1=382.50 L2=26.803, I2=26.750,  Status = ON
X1=64.60, Y1=-50.08, Z1=-273.98, A1=-11.56, B1=-0.83, C1=-4.41, M1=-88.50, N1=21.00, O1=375.00 L2=26.643, I2=26.875,  Status = ON
X1=110.00, Y1=-39.08, Z1=-230.89, A1=-13.09, B1=-3.01, C1=-4.73, M1=-90.00, N1=70.50, O1=366.00 L2=26.623, I2=26.750,  Status = ON
X1=107.65, Y1=-0.95, Z1=-231.22, A1=-14.26, B1=-5.08, C1=-4.59, M1=-72.00, N1=117.00, O1=346.50 L2=26.764, I2=26.875,  Status = ON
X1=96.97, Y1=39.72, Z1=-245.37, A1=-18.88, B1=-10.52, C1=-7.89, M1=-28.50, N1=154.50, O1=327.00 L2=26.620, I2=27.250,  Status = ON
X1=45.62, Y1=82.67, Z1=-245.08, A1=-8.84, B1=-6.29, C1=-2.86, M1=36.00, N1=175.50, O1=313.50 L2=26.678, I2=26.750,  Status = ON
X1=14.86, Y1=82.57, Z1=-199.40, A1=-8.57, B1=-3.62, C1=-3.30, M1=97.50, N1=177.00, O1=301.50 L2=26.635, I2=26.875,  Status = ON
X1=13.40, Y1=103.51, Z1=-259.83, A1=-8.51, B1=-3.46, C1=-3.26, M1=162.00, N1=162.00, O1=294.00 L2=26.737, I2=26.625,  Status = ON
X1=20.75, Y1=118.54, Z1=-286.68, A1=-1.98, B1=-3.49, C1=-3.39, M1=234.00, N1=120.00, O1=277.50 L2=26.780, I2=26.625,  Status = ON
X1=22.12, Y1=89.59, Z1=-131.68, A1=3.89, B1=-9.40, C1=-5.15, M1=291.00, N1=67.50, O1=255.00 L2=26.663, I2=27.000,  Status = ON
X1=8.24, Y1=70.21, Z1=-95.58, A1=1.44, B1=-8.94, C1=-3.68, M1=322.50, N1=37.50, O1=235.50 L2=26.698, I2=26.875,  Status = ON
X1=-5.64, Y1=65.17, Z1=-168.33, A1=-0.35, B1=-7.92, C1=-4.92, M1=345.00, N1=-1.50, O1=219.00 L2=26.663, I2=26.750,  Status = ON
X1=-2.26, Y1=71.57, Z1=-167.68, A1=0.97, B1=-8.46, C1=-4.75, M1=363.00, N1=-46.50, O1=202.50 L2=26.713, I2=27.250,  Status = ON
X1=-22.88, Y1=70.57, Z1=-143.78, A1=3.77, B1=-7.44, C1=-2.58, M1=381.00, N1=-90.00, O1=183.00 L2=26.748, I2=27.000,  Status = ON
X1=-36.04, Y1=86.49, Z1=-0.35, A1=9.89, B1=-7.58, C1=-6.84, M1=388.50, N1=-120.00, O1=160.50 L2=26.651, I2=26.750,  Status = ON
X1=-52.67, Y1=54.62, Z1=58.27, A1=9.94, B1=-6.50, C1=-5.79, M1=396.00, N1=-117.00, O1=136.50 L2=26.788, I2=26.875,  Status = ON
X1=-3.50, Y1=45.64, Z1=69.33, A1=3.11, B1=-7.29, C1=-4.61, M1=409.50, N1=-97.50, O1=109.50 L2=26.674, I2=27.250,  Status = ON
X1=2.50, Y1=73.32, Z1=-55.06, A1=6.96, B1=-7.93, C1=-4.70, M1=421.50, N1=-85.50, O1=90.00 L2=26.643, I2=26.625,  Status = ON
