
X1=-188.48, Y1=-61.03, Z1=163.99, A1=-14.77, B1=8.29, C1=-0.45, M1=117.00, N1=3.00, O1=349.50 L2=26.745, I2=26.750,  Status = ON
X1=-140.28, Y1=-9.93, Z1=23.12, A1=-9.06, B1=6.97, C1=-2.56, M1=97.50, N1=-40.50, O1=361.50 L2=26.705, I2=26.750,  Status = ON
X1=-107.76, Y1=-19.17, Z1=41.12, A1=-10.67, B1=6.62, C1=-4.88, M1=88.50, N1=-75.00, O1=364.50 L2=26.772, I2=26.750,  Status = ON
X1=-72.11, Y1=-18.39, Z1=9.28, A1=-9.38, B1=7.48, C1=-5.09, M1=84.00, N1=-93.00, O1=360.00 L2=26.760, I2=27.000,  Status = ON
X1=-33.72, Y1=-17.47, Z1=15.70, A1=-9.67, B1=5.98, C1=-4.53, M1=85.50, N1=-111.00, O1=361.50 L2=26.690, I2=26.750,  Status = ON
X1=-20.27, Y1=-6.68, Z1=11.51, A1=-9.58, B1=4.76, C1=-5.09, M1=82.50, N1=-132.00, O1=361.50 L2=26.678, I2=26.750,  Status = ON
X1=-3.88, Y1=0.64, Z1=8.55, A1=-9.20, B1=3.71, C1=-4.51, M1=72.00, N1=-135.00, O1=361.50 L2=26.819, I2=26.625,  Status = ON
X1=10.86, Y1=4.51, Z1=-3.05, A1=-8.27, B1=2.18, C1=-3.96, M1=75.00, N1=-139.50, O1=361.50 L2=26.756, I2=26.625,  Status = ON
X1=18.57, Y1=1.25, Z1=-1.03, A1=-7.86, B1=1.11, C1=-3.97, M1=76.50, N1=-139.50, O1=367.50 L2=26.838, I2=27.000,  Status = ON
X1=21.44, Y1=0.91, Z1=-11.12, A1=-7.18, B1=-0.55, C1=-3.99, M1=73.50, N1=-132.00, O1=367.50 L2=26.713, I2=26.750,  Status = ON
X1=15.61, Y1=-2.46, Z1=27.25, A1=-8.49, B1=-1.07, C1=-4.01, M1=75.00, N1=-127.50, O1=364.50 L2=26.725, I2=26.750,  Status = ON
X1=10.08, Y1=-1.53, Z1=15.28, A1=-8.01, B1=-1.00, C1=-3.68, M1=73.50, N1=-124.50, O1=367.50 L2=26.678, I2=26.750,  Status = ON
X1=3.74, Y1=-6.80, Z1=27.78, A1=-7.59, B1=-0.33, C1=-3.18, M1=70.50, N1=-121.50, O1=364.50 L2=26.873, I2=26.875,  Status = ON
X1=-3.82, Y1=-8.14, Z1=6.23, A1=-6.84, B1=-0.20, C1=-2.59, M1=75.00, N1=-120.00, O1=369.00 L2=26.795, I2=26.625,  Status = ON
X1=-18.82, Y1=-21.17, Z1=21.44, A1=-4.71, B1=0.38, C1=-1.62, M1=75.00, N1=-121.50, O1=375.00 L2=26.709, I2=27.000,  Status = ON
X1=-26.89, Y1=-33.85, Z1=76.12, A1=-5.19, B1=1.29, C1=-1.58, M1=66.00, N1=-129.00, O1=375.00 L2=26.756, I2=26.750,  Status = ON
X1=-31.13, Y1=-45.76, Z1=94.46, A1=-5.54, B1=1.66, C1=-2.50, M1=61.50, N1=-142.50, O1=379.50 L2=26.788, I2=26.625,  Status = ON
X1=-36.45, Y1=-56.62, Z1=96.19, A1=-5.35, B1=3.89, C1=-2.46, M1=51.00, N1=-153.00, O1=381.00 L2=26.733, I2=27.000,  Status = ON
X1=-26.08, Y1=-66.62, Z1=113.59, A1=-10.72, B1=4.69, C1=-4.07, M1=39.00, N1=-159.00, O1=379.50 L2=26.702, I2=26.875,  Status = ON
X1=-9.99, Y1=-67.59, Z1=14.53, A1=-11.58, B1=7.27, C1=-6.06, M1=22.50, N1=-169.50, O1=376.50 L2=26.663, I2=26.625,  Status = ON
X1=16.43, Y1=-65.29, Z1=-62.49, A1=-14.64, B1=7.32, C1=-5.43, M1=-3.00, N1=-174.00, O1=373.50 L2=26.791, I2=26.750,  Status = ON
X1=31.51, Y1=-50.70, Z1=-132.22, A1=-11.06, B1=7.23, C1=-5.54, M1=-30.00, N1=-171.00, O1=372.00 L2=26.842, I2=26.875,  Status = ON
X1=48.54, Y1=-30.74, Z1=-100.97, A1=-17.79, B1=2.83, C1=-2.77, M1=-57.00, N1=-157.50, O1=370.50 L2=26.780, I2=26.875,  Status = ON
X1=39.81, Y1=4.92, Z1=-281.86, A1=-16.09, B1=1.31, C1=-1.15, M1=-82.50, N1=-133.50, O1=375.00 L2=26.838, I2=27.250,  Status = ON
X1=37.42, Y1=31.33, Z1=-286.68, A1=-11.87, B1=-0.34, C1=-1.42, M1=-91.50, N1=-102.00, O1=379.50 L2=26.850, I2=26.625,  Status = ON
X1=41.43, Y1=50.65, Z1=-286.68, A1=-9.47, B1=-3.22, C1=-2.09, M1=-82.50, N1=-64.50, O1=381.00 L2=26.733, I2=26.625,  Status = ON
X1=35.94, Y1=56.57, Z1=-234.77, A1=-8.23, B1=-6.17, C1=-2.48, M1=-63.00, N1=-37.50, O1=384.00 L2=26.760, I2=26.625,  Status = ON
X1=26.99, Y1=61.43, Z1=-230.75, A1=-5.88, B1=-6.04, C1=-2.98, M1=-39.00, N1=-19.50, O1=390.00 L2=26.772, I2=27.000,  Status = ON
X1=25.24, Y1=66.23, Z1=-219.24, A1=-5.33, B1=-6.95, C1=-2.41, M1=-12.00, N1=-7.50, O1=385.50 L2=26.713, I2=27.250,  Status = ON
X1=20.14, Y1=74.19, Z1=-233.77, A1=-2.92, B1=-6.88, C1=-2.77, M1=18.00, N1=-4.50, O1=378.00 L2=26.854, I2=26.750,  Status = ON
X1=13.95, Y1=75.01, Z1=-158.69, A1=0.47, B1=-7.03, C1=-3.91, M1=49.50, N1=-3.00, O1=379.50 L2=26.686, I2=26.750,  Status = ON
X1=13.58, Y1=72.68, Z1=-105.35, A1=-0.26, B1=-7.87, C1=-3.41, M1=79.50, N1=-9.00, O1=375.00 L2=26.795, I2=27.250,  Status = ON
X1=11.32, Y1=70.86, Z1=-76.15, A1=1.42, B1=-7.54, C1=-3.65, M1=108.00, N1=-16.50, O1=367.50 L2=26.721, I2=26.750,  Status = ON
X1=12.35, Y1=69.21, Z1=-61.11, A1=-0.45, B1=-10.28, C1=-3.23, M1=132.00, N1=-15.00, O1=363.00 L2=26.811, I2=26.625,  Status = ON
X1=6.81, Y1=65.57, Z1=-57.37, A1=3.92, B1=-10.21, C1=-2.21, M1=150.00, N1=-25.50, O1=357.00 L2=26.678, I2=26.875,  Status = ON
X1=-4.09, Y1=54.52, Z1=-22.72, A1=5.04, B1=-10.85, C1=-1.62, M1=168.00, N1=-30.00, O1=351.00 L2=26.729, I2=26.750,  Status = ON
X1=-12.14, Y1=40.56, Z1=-10.96, A1=3.46, B1=-10.95, C1=-2.07, M1=181.50, N1=-30.00, O1=345.00 L2=26.784, I2=26.750,  Status = ON
X1=-14.06, Y1=30.68, Z1=-1.37, A1=5.11, B1=-9.66, C1=-2.76, M1=198.00, N1=-37.50, O1=340.50 L2=26.823, I2=26.625,  Status = ON
X1=-13.38, Y1=10.46, Z1=-10.93, A1=3.17, B1=-9.47, C1=-3.55, M1=204.00, N1=-39.00, O1=340.50 L2=26.717, I2=26.750,  Status = ON
X1=-12.42, Y1=-1.60, Z1=13.57, A1=1.70, B1=-9.71, C1=-4.02, M1=205.50, N1=-36.00, O1=343.50 L2=26.807, I2=26.625,  Status = ON
X1=-11.24, Y1=-5.51, Z1=6.21, A1=1.69, B1=-10.01, C1=-4.33, M1=207.00, N1=-40.50, O1=342.00 L2=26.698, I2=26.625,  Status = ON
