
X1=-76.47, Y1=-14.81, Z1=-165.36, A1=-7.59, B1=-3.78, C1=-2.64, M1=39.00, N1=321.00, O1=52.50 L2=26.842, I2=27.000,  Status = ON
X1=-59.26, Y1=-17.16, Z1=-146.34, A1=-11.36, B1=-6.82, C1=-3.36, M1=76.50, N1=312.00, O1=79.50 L2=26.913, I2=27.250,  Status = ON
X1=-34.76, Y1=-11.46, Z1=-221.67, A1=-8.77, B1=-6.75, C1=-4.08, M1=127.50, N1=298.50, O1=105.00 L2=26.885, I2=26.875,  Status = ON
X1=-10.05, Y1=6.20, Z1=-228.07, A1=-5.53, B1=-5.82, C1=-6.74, M1=193.50, N1=273.00, O1=114.00 L2=26.909, I2=27.000,  Status = ON
X1=10.84, Y1=23.71, Z1=-217.76, A1=-2.97, B1=-5.88, C1=-6.96, M1=249.00, N1=238.50, O1=112.50 L2=26.889, I2=27.250,  Status = ON
X1=17.27, Y1=27.40, Z1=-122.75, A1=-2.82, B1=-7.58, C1=-6.61, M1=292.50, N1=208.50, O1=108.00 L2=26.991, I2=27.000,  Status = ON
X1=14.93, Y1=28.09, Z1=-95.45, A1=-0.29, B1=-6.77, C1=-6.76, M1=327.00, N1=186.00, O1=99.00 L2=26.959, I2=27.250,  Status = ON
X1=10.87, Y1=22.54, Z1=-66.54, A1=-1.51, B1=-7.60, C1=-6.84, M1=346.50, N1=171.00, O1=91.50 L2=26.834, I2=27.250,  Status = ON
X1=15.46, Y1=21.05, Z1=-42.65, A1=-0.57, B1=-8.54, C1=-6.11, M1=358.50, N1=162.00, O1=81.00 L2=26.967, I2=26.750,  Status = ON
X1=14.04, Y1=16.74, Z1=-67.15, A1=0.52, B1=-7.99, C1=-5.02, M1=367.50, N1=145.50, O1=75.00 L2=26.979, I2=26.750,  Status = ON
X1=9.49, Y1=10.01, Z1=-25.52, A1=-0.58, B1=-9.23, C1=-5.06, M1=373.50, N1=132.00, O1=73.50 L2=26.901, I2=27.000,  Status = ON
X1=10.26, Y1=-12.17, Z1=6.18, A1=-1.09, B1=-9.71, C1=-4.60, M1=373.50, N1=129.00, O1=75.00 L2=26.979, I2=27.250,  Status = ON
X1=1.88, Y1=-11.32, Z1=-14.96, A1=-0.02, B1=-8.60, C1=-5.65, M1=375.00, N1=127.50, O1=76.50 L2=26.955, I2=27.250,  Status = ON
X1=31.82, Y1=-64.62, Z1=69.61, A1=-1.48, B1=-8.68, C1=-4.13, M1=375.00, N1=136.50, O1=76.50 L2=26.858, I2=27.250,  Status = ON
X1=-2.35, Y1=-2.43, Z1=20.89, A1=-1.35, B1=-9.09, C1=-3.88, M1=363.00, N1=150.00, O1=88.50 L2=26.877, I2=27.250,  Status = ON
X1=-7.01, Y1=6.86, Z1=-15.45, A1=-0.89, B1=-9.18, C1=-4.00, M1=349.50, N1=154.50, O1=97.50 L2=26.955, I2=26.750,  Status = ON
X1=2.19, Y1=8.99, Z1=32.17, A1=-1.17, B1=-9.97, C1=-4.53, M1=343.50, N1=157.50, O1=94.50 L2=26.987, I2=27.250,  Status = ON
X1=-6.75, Y1=-8.16, Z1=-5.92, A1=-1.81, B1=-9.08, C1=-3.71, M1=343.50, N1=165.00, O1=93.00 L2=26.909, I2=27.250,  Status = ON
X1=-0.71, Y1=-0.69, Z1=-17.66, A1=-2.02, B1=-9.13, C1=-4.24, M1=349.50, N1=168.00, O1=100.50 L2=26.952, I2=27.000,  Status = ON
X1=-25.12, Y1=-5.91, Z1=21.03, A1=-2.07, B1=-8.44, C1=-4.73, M1=346.50, N1=174.00, O1=111.00 L2=26.889, I2=27.000,  Status = ON
X1=6.86, Y1=7.10, Z1=-6.86, A1=-0.72, B1=-8.29, C1=-3.36, M1=340.50, N1=172.50, O1=108.00 L2=26.850, I2=26.875,  Status = ON
X1=-13.46, Y1=-25.79, Z1=1.05, A1=-2.13, B1=-8.05, C1=-4.90, M1=340.50, N1=163.50, O1=106.50 L2=26.905, I2=27.000,  Status = ON
X1=7.38, Y1=-36.44, Z1=-4.05, A1=-2.57, B1=-8.27, C1=-3.75, M1=334.50, N1=160.50, O1=114.00 L2=26.979, I2=27.250,  Status = ON
X1=-5.94, Y1=-26.25, Z1=9.65, A1=-3.11, B1=-8.49, C1=-3.43, M1=324.00, N1=157.50, O1=123.00 L2=26.998, I2=27.250,  Status = ON
X1=-18.44, Y1=3.80, Z1=-6.20, A1=-2.80, B1=-8.47, C1=-4.81, M1=321.00, N1=160.50, O1=136.50 L2=26.952, I2=27.000,  Status = ON
